TYPE TIMER MOVE_SET SPEED MULTIPLIER VERT_MULTIPLIER ADD
1 6000 1 10 30 30 300
1 300 1 10 31 30 300
1 300 3 10 32 30 300
1 300 1 10 33 30 300
1 300 3 10 33 30 300
2 300 1 10 33 100 300
2 10 0 15 50 50 50
2 10 0 15 60 60 10
2 10 0 15 60 60 10
2 10 0 15 60 60 80
2 10 0 15 60 60 80
2 50 0 5 10 10 10
2 50 0 5 12 12 12
2 50 0 5 13 13 13
2 50 0 5 14 14 14
2 50 0 5 15 15 15
2 50 0 5 16 16 16
2 50 0 5 15 15 15
2 50 0 5 14 14 14
2 50 0 5 13 13 13
2 50 0 5 12 12 12
2 50 1 5 10 10 10
2 500 1 5 50 50 50
2 50 1 5 50 50 50
21 10000 1 10 60 60 60
3 200 0 8 10 10 10
3 200 1 8 10 10 10
3 200 0 8 10 10 10
3 200 1 8 10 10 10
3 400 2 20 10 10 10
